Prov,Age,NumHse,AvgA,AvgU,MaxA
NL,Pre-1945,419,40,68,75
NL,1945-1959,374,51,71,74
NL,1960-1969,320,59,73,77
NL,1970-1979,520,64,74,81
NL,1980-1989,532,68,75,83
NL,1990-1999,255,71,76,86
NL,2000-2009,105,70,77,82
NS,Pre-1945,3265,36,65,77
NS,1945-1959,1706,51,70,80
NS,1960-1969,996,58,71,79
NS,1970-1979,1661,63,72,82
NS,1980-1989,1258,68,74,86
NS,1990-1999,647,71,75,86
NS,2000-2009,240,73,77,85
PE,Pre-1945,255,38,66,74
PE,1945-1959,67,50,69,73
PE,1960-1969,91,62,74,78
PE,1970-1979,251,63,74,78
PE,1980-1989,76,62,72,74
PE,1990-1999,49,64,73,76
PE,2000-2009,27,68,75,85
NB,Pre-1945,1175,35,66,79
NB,1945-1959,724,52,72,81
NB,1960-1969,520,60,74,80
NB,1970-1979,1161,63,75,79
NB,1980-1989,511,67,76,84
NB,1990-1999,183,69,76,83
NB,2000-2009,62,71,78,86
QC,Pre-1945,7329,49,64,81
QC,1945-1959,7740,57,68,80
QC,1960-1969,6244,62,70,80
QC,1970-1979,9982,66,73,85
QC,1980-1989,5267,69,73,82
QC,1990-1999,1672,71,74,84
QC,2000-2009,635,73,74,88
ON,Pre-1945,24579,42,67,83
ON,1945-1959,15312,57,73,83
ON,1960-1969,12173,61,74,83
ON,1970-1979,15585,64,74,85
ON,1980-1989,12933,66,75,87
ON,1990-1999,4005,71,76,90
ON,2000-2009,1059,74,76,89
MB,Pre-1945,4582,45,66,84
MB,1945-1959,4157,56,71,86
MB,1960-1969,3060,63,74,84
MB,1970-1979,3604,64,75,86
MB,1980-1989,1607,68,76,82
MB,1990-1999,501,71,76,85
MB,2000-2009,120,73,77,82
SK,Pre-1945,3238,45,74,76
SK,1945-1959,4067,58,78,78
SK,1960-1969,4797,61,78,82
SK,1970-1979,6450,64,78,83
SK,1980-1989,3802,68,78,85
SK,1990-1999,652,70,78,84
SK,2000-2009,202,70,78,88
AB,Pre-1945,2899,43,72,74
AB,1945-1959,7676,56,76,77
AB,1960-1969,7530,59,76,83
AB,1970-1979,14757,60,76,79
AB,1980-1989,8783,62,75,81
AB,1990-1999,2901,67,75,81
AB,2000-2009,780,71,75,87
BC,Pre-1945,4489,47,73,80
BC,1945-1959,5706,56,74,80
BC,1960-1969,6855,58,74,79
BC,1970-1979,13213,59,74,81
BC,1980-1989,7104,62,74,85
BC,1990-1999,3726,67,74,84
BC,2000-2009,434,71,76,88
NU,Pre-1945,0,0,0,0
NU,1945-1959,0,0,0,0
NU,1960-1969,5,74,78,75
NU,1970-1979,20,73,76,80
NU,1980-1989,39,78,81,83
NU,1990-1999,2,78,79,81
NU,2000-2009,4,78,79,81
NT,Pre-1945,3,40,69,59
NT,1945-1959,26,58,75,74
NT,1960-1969,71,62,75,73
NT,1970-1979,220,59,74,75
NT,1980-1989,164,65,74,80
NT,1990-1999,90,68,75,78
NT,2000-2009,29,69,75,77
YK,Pre-1945,11,62,75,77
YK,1945-1959,106,61,75,78
YK,1960-1969,107,64,75,79
YK,1970-1979,409,68,76,81
YK,1980-1989,469,71,76,81
YK,1990-1999,624,73,77,82
YK,2000-2009,85,73,77,78
